TVDSS,GR,NPHI,RHOB,DT,VCL,PHIE,target
3496.8757,121.329,0.138,2.5071,67.053,0.1391,0.0805,0.23
3497.2755,117.936,0.144,2.5425,66.0532,0.1391,0.0772,0.43
3497.5753,107.523,0.144,2.5566,65.5259,0.0995,0.0849,0.24
3497.8751,97.929,0.14,2.5213,68.75,0.0669,0.0995,0.24
3498.2749,101.556,0.1545,2.5457,68.5,0.0971,0.0959,0.2
3498.5747,106.47,0.153,2.5319,69,0.1118,0.0938,0.55
3546.0458,129.285,0.2409,2.6945,61.7189,0.2702,0.0734,0.12
3546.2456,126.477,0.233,2.7063,58.3235,0.2384,0.073,0.38
3547.0451,125.073,0.1964,2.4041,73.75,0.1411,0.1382,59.41
3547.245,120.744,0.1833,2.3503,74.5,0.0911,0.1534,17.46
3547.5448,115.83,0.203,2.377,78.25,0.1223,0.1547,22.47
3547.8447,114.777,0.1972,2.3463,79,0.1041,0.1619,10.71
3548.0445,114.192,0.1972,2.3536,78.5,0.1021,0.1609,34.08
3548.2444,120.393,0.1888,2.2968,79.8333,0.1035,0.1665,23.31
3548.5442,129.051,0.1916,2.3113,79,0.1459,0.154,55.35
3549.1439,123.435,0.213,2.3925,79.1667,0.1759,0.1446,52.47
3556.8392,97.11,0.1825,2.5608,60,0.0145,0.1274,110.13
3557.0391,100.854,0.1846,2.5019,64.9407,0.0296,0.1379,77.92
3557.2389,104.598,0.1864,2.4976,65.276,0.0447,0.1359,76.33
3557.5387,108.576,0.1964,2.4437,71.8993,0.0817,0.1457,68.15
3557.8386,104.013,0.2054,2.5149,69.3633,0.0905,0.1348,75.9
3558.0384,104.13,0.2085,2.5111,70.5246,0.0986,0.1359,15.98
3558.2383,104.247,0.207,2.4794,72.5942,0.0952,0.1428,73.45
3558.838,99.45,0.2019,2.4413,74.7583,0.0691,0.1547,235.6
3559.0378,102.375,0.2016,2.4337,74.8589,0.0764,0.154,258.6
3559.2377,105.066,0.2013,2.4365,74.2188,0.0833,0.151,0.78
3559.5375,100.854,0.2013,2.4719,72.0486,0.0714,0.1466,1.65
3559.7374,98.631,0.2044,2.5037,70.7349,0.0732,0.1416,1.39
3559.9373,96.291,0.2094,2.5186,71.311,0.0797,0.1407,0.43
3560.2371,98.865,0.2169,2.5319,71.9724,0.1051,0.1366,18.22
3560.5369,102.258,0.2352,2.6436,67.4644,0.16,0.1109,8.43
3560.7368,106.704,0.2436,2.6502,68.7354,0.194,0.1066,53.7
3362.3993,78.507,0.201,2.36,75.9257,0.2593,0.1408,31.75
3362.5993,73.242,0.1993,2.34,73.85,0.2114,0.1549,1.28
3363.0993,71.136,0.1714,2.51,70.5947,0.1934,0.1093,70.37
3363.4993,79.56,0.1866,2.51,69.6712,0.2694,0.1017,1.16
3363.7992,93.834,0.1947,2.4,68.897,0.4265,0.0889,0.2
3364.1992,101.322,0.2075,2.36,70.8782,0.5273,0.0821,0.2
3364.3992,101.907,0.226,2.42,71.9663,0.5358,0.0802,0.34
3364.6992,105.534,0.254,2.44,74.2493,0.5911,0.0832,0.19
3365.0992,106.704,0.2424,2.4,69.8388,0.6099,0.0774,0.12
3365.5992,92.898,0.2074,2.4,65.5594,0.4149,0.1002,0.17
3365.8992,79.092,0.1996,2.37,68.1411,0.2649,0.1366,0.09
3366.0992,71.487,0.198,2.46,71.2501,0.1963,0.1361,0.87
3366.3991,66.573,0.2135,2.38,73.0545,0.1565,0.1706,10
3367.0991,61.893,0.2056,2.32,73.3623,0.1216,0.1845,6.59
3367.3991,62.712,0.2098,2.34,70.0309,0.1275,0.1822,12.3
3367.6991,64.818,0.2097,2.46,71.8322,0.1431,0.1577,7.93
