TVDSS,GR,NPHI,RHOB,DT,VCL,PHIE,target
2175.6561,107.962,0.2034,2292.6763,93.4089,0,0.1843,243
2175.9645,94.7481,0.2083,2266.5869,93.6136,0,0.2221,521
2176.2726,100.0863,0.2087,2254.6284,94.7326,0,0.2141,278
2176.5804,105.4246,0.2243,2255.6023,94.9916,0,0.2087,575
2176.888,112.5445,0.2346,2239.4326,94.4653,0,0.2251,88.8
2177.1952,115.084,0.2239,2241.8838,94.6956,0,0.2357,43.8
2177.5022,112.5422,0.2156,2250.001,94.2505,0,0.1921,95.4
2178.1153,100.847,0.1987,2299.4297,95.6067,0,0.1864,0.096
2178.4214,103.7312,0.1999,2296.7898,96.8336,0,0.1711,69
2178.7272,112.8789,0.2141,2293.8442,97.1178,0,0.1879,93.4
2179.0328,106.0137,0.2182,2279.8328,97.6532,0,0.2032,74.6
2179.338,97.9657,0.2137,2278.1462,98.4912,0,0.1979,0.029
2179.643,98.646,0.2162,2276.6392,97.6093,0,0.1897,27.6
2179.9477,103.4763,0.2225,2281.7544,94.9279,0,0.1961,261
2180.2521,105.5912,0.2083,2280.0366,93.9015,0,0.1906,90.2
2180.5562,99.8331,0.1985,2272.1565,97.5521,0,0.1912,82.4
2180.86,102.372,0.2081,2261.0618,100.8291,0,0.2179,102
2181.1635,100,0.2223,2248.8,99.5619,0,0.2202,211
2181.4668,101.3573,0.2226,2247.9006,98.6441,0,0.2068,156
2181.7697,101.6087,0.2004,2253.8394,99.399,0,0.2149,53.3
2182.0724,93.5558,0.1961,2252.5396,100.1554,0,0.2261,45.7
2182.3748,83.3949,0.2103,2251.6111,99.4167,0,0.2257,3.73
2182.6768,87.708,0.2154,2285.8066,99.1091,0,0.2059,5.31
2182.9786,84.4127,0.2102,2311.7141,100.5376,0,0.1419,0.993
2183.2802,103.0476,0.2094,2320.4907,100.6457,0,0.1563,31
2183.5814,97.2034,0.2138,2272.0759,99.884,0,0.2197,257
2183.8823,95.4224,0.1994,2230.7219,98.5115,0,0.252,336
2184.183,93.2229,0.1882,2201.1917,97.6426,0,0.2447,470
2184.4833,98.9427,0.225,2205.8181,96.8842,0,0.2607,346
2184.7834,102.8809,0.2351,2226.6519,93.4836,0,0.2156,170
2185.0832,108.9905,0.2452,2265.4912,90.9241,0,0.1756,35.8
2185.3826,127.2937,0.2553,2304.4048,90.3465,0,0.1859,186
2185.6818,145.5968,0.2654,2319.0364,91.9538,0,0.1766,46.2
2185.9807,157.7924,0.2712,2333.2881,94.996,0,0.1686,155
2186.2794,154.2397,0.2769,2354.8335,97.6278,0,0.1695,173
2186.5777,158.9814,0.2827,2370.562,98.2533,0,0.1625,474
2186.8757,151.8619,0.2827,2348.7705,95.5961,0,0.1635,1120
2187.1734,154.9216,0.2827,2319.3687,95.8093,0,0.1961,463
2187.4709,169.1514,0.3173,2301.739,98.2419,0,0.1827,35.8
2187.7681,166.7821,0.3173,2315.6626,101.0319,0,0.184,36.6
2188.0649,169.5757,0.3173,2307.8652,106.0156,0,0.1797,100
2188.3615,163.7252,0.3173,2280.9658,104.1801,0,0.1804,62.2
2188.6578,145.422,0.3115,2248.8235,96.3733,0,0.2111,184
2188.9538,132.448,0.2942,2224.2795,92.8872,0,0.2471,0.717
