TVDSS,GR,NPHI,RHOB,DT,VCL,PHIE,target
3943.3426,101.0089,0.1025,2.4013,70.1886,0.0691,0.1334,13.5709
3943.4769,111.4516,0.1094,2.4345,70.0651,0.1061,0.1173,2.2091
3943.6112,118.3434,0.12,2.4634,70.1883,0.1458,0.0992,0.292
3943.7455,120.3695,0.1313,2.466,70.7354,0.1644,0.0928,0.1928
3943.8798,115.8458,0.1405,2.449,71.7052,0.1494,0.0987,1.4186
3944.0141,112.4611,0.1499,2.4209,72.9697,0.1244,0.1114,2.7355
3944.1484,113.7125,0.1525,2.3913,74.7821,0.1266,0.1242,4.0524
3944.2827,110.6483,0.1482,2.3606,76.0943,0.126,0.1372,6.573
3944.417,100.745,0.143,2.3276,76.7371,0.087,0.1538,26.3527
3944.5513,96.3446,0.1388,2.3057,76.7354,0.0627,0.1662,19.8266
3944.6856,98.8496,0.1355,2.295,76.2782,0.0668,0.1734,36.7306
3944.8199,102.6817,0.1359,2.3082,75.4421,0.0798,0.17,47.3579
3944.9542,105.0378,0.1411,2.3347,74.4233,0.091,0.1581,31.7252
3945.0885,105.1529,0.1474,2.3516,73.6157,0.0933,0.1494,16.0926
3945.2228,103.3821,0.1536,2.3612,72.9667,0.0883,0.1445,5.596
3945.3571,102.6138,0.156,2.3655,72.341,0.0838,0.1424,0.8557
3945.4914,104.8188,0.1563,2.3685,71.815,0.0877,0.1407,0.5311
3945.6257,108.6382,0.1563,2.3667,71.4809,0.1027,0.1407,0.968
3945.76,108.301,0.1555,2.3611,71.3397,0.107,0.1436,2.8004
3945.8943,106.4104,0.1494,2.3613,71.4838,0.0999,0.1459,4.6328
3946.0286,104.8255,0.1373,2.3766,72.0463,0.0931,0.1409,21.1573
3946.163,103.843,0.1286,2.3943,72.9715,0.0887,0.1305,16.4539
3946.2973,104.1631,0.1257,2.4001,73.5113,0.0885,0.125,23.1834
3946.4316,104.85,0.125,2.3902,73.6803,0.091,0.1274,33.5254
3946.5659,104.9878,0.1265,2.3792,73.3461,0.0924,0.1329,43.4089
3946.7002,102.4639,0.1296,2.3767,72.9491,0.0859,0.1361,48.3194
3946.8345,100.894,0.131,2.379,72.7129,0.0785,0.1366,42.3218
3946.9688,107.8858,0.1254,2.3831,72.5192,0.0963,0.1329,40.4355
3947.1031,113.6332,0.1152,2.3692,72.706,0.1219,0.1336,38.5492
3947.2374,115.9967,0.1081,2.3345,73.4,0.138,0.146,39.1825
3947.3717,117.0099,0.1054,2.3027,74.2168,0.1439,0.1563,54.2869
3947.506,118.8455,0.1057,2.2879,74.9596,0.1532,0.1631,171.3482
3947.6403,117.7039,0.1056,2.2985,75.4211,0.1502,0.1613,219.7654
3947.7746,111.8382,0.1018,2.3073,75.9362,0.1286,0.1582,208.7805
3947.9089,106.6132,0.0963,2.2969,76.6326,0.1039,0.1613,229.7214
3948.0432,103.7756,0.0914,2.2741,77.2464,0.0905,0.1686,436.8735
3948.1775,100.9337,0.0876,2.246,77.643,0.08,0.1794,644.0256
3948.3118,98.0958,0.0859,2.2316,77.7359,0.0702,0.1868,846.1923
3948.4461,97.6299,0.0832,2.2295,77.8838,0.0665,0.1881,631.2504
3948.5804,96.4381,0.0789,2.2342,78.1327,0.0637,0.1859,335.4219
3948.7147,94.7941,0.0755,2.2454,78.2122,0.0572,0.1809,760.8671
3948.849,94.8694,0.082,2.2534,77.7466,0.0571,0.1784,986.2322
3948.9833,96.6032,0.101,2.2563,76.5814,0.0613,0.1832,199.8933
3949.1176,98.7646,0.1191,2.2693,75.1108,0.067,0.1876,64.2165
3949.252,102.4722,0.1299,2.3036,74.012,0.0789,0.1795,719.8489
3949.3863,107.0089,0.1321,2.3636,72.5351,0.0944,0.1527,517.339
3949.5206,116.4048,0.1348,2.4077,71.4026,0.1302,0.1255,314.8291
3949.6549,124.1535,0.141,2.4092,71.0155,0.1788,0.1149,112.3192
3949.7892,124.9485,0.1464,2.3873,71.1872,0.1936,0.1212,1.9715
3949.9235,121.4883,0.1462,2.3623,71.6572,0.1747,0.1353,2.5254
3950.0578,117.6576,0.1437,2.3551,71.835,0.1531,0.1419,6.0815
3950.1921,114.1988,0.1423,2.3548,71.7905,0.1368,0.1432,12.903
3950.3264,109.5184,0.1415,2.3566,71.7332,0.117,0.1445,19.7245
3950.4607,108.0537,0.1422,2.3617,71.4912,0.1006,0.145,22.3114
3950.595,113.5267,0.1421,2.377,71.3844,0.1154,0.1412,13.0797
3950.7291,123.8801,0.1397,2.411,71.2876,0.172,0.1271,3.848
3950.8632,130.2198,0.1387,2.4466,71.2204,0.2121,0.1069,2.1382
3950.9974,135.1995,0.1419,2.4836,71.2921,0.2488,0.087,0.6835
