TVDSS,GR,NPHI,RHOB,DT,VCL,PHIE,target
2656.5817,85.2743,0.2368,2.2271,83.5874,0.0598,0.2378,1075
2656.6818,84.4307,0.2365,2.2184,83.5538,0.0533,0.2451,1075
2656.7817,83.0461,0.2387,2.2047,83.6843,0.0428,0.2561,1075
2657.1815,83.1562,0.24,2.2109,82.6449,0.0436,0.2527,1753.56
2657.2815,84.2507,0.2361,2.2218,81.9602,0.0518,0.2442,1753.56
2657.3817,85.0223,0.2303,2.2277,81.3276,0.0578,0.2402,1753.56
2660.7817,78.7983,0.2604,2.2658,84.1493,0.0933,0.2045,3124.39
2660.8816,78.2957,0.2571,2.2652,84.0252,0.082,0.2062,3124.39
2660.9816,79.1725,0.2578,2.2616,84.0737,0.0818,0.2083,3124.39
2662.4817,97.5659,0.2641,2.264,83.8923,0.2784,0.1912,155
2662.5818,96.1125,0.261,2.264,84.2932,0.2563,0.1928,155
2662.6817,93.7311,0.261,2.257,84.8218,0.2182,0.1998,155
2670.0817,77.481,0.2019,2.1875,89.2099,0.0231,0.2635,4375.96
2670.1816,78.1831,0.1914,2.196,88.4559,0.0252,0.2592,4375.96
2670.2816,79.4149,0.1885,2.2091,87.5039,0.0327,0.2506,4375.96
2670.3816,80.6642,0.1894,2.2232,86.4881,0.0406,0.2411,2625
2670.4818,81.4726,0.1953,2.2363,85.4599,0.0451,0.2323,2625
2670.5818,82.4781,0.2027,2.2452,84.5569,0.0485,0.2277,2625
2672.9816,100.8683,0.2214,2.3178,83.6578,0.3793,0.1522,15.71
2673.0815,98.0179,0.2228,2.2995,83.8953,0.2928,0.1703,15.71
2673.1816,94.4636,0.2241,2.2837,84.0322,0.2137,0.1862,15.71
2677.6816,79.3241,0.2121,2.2567,85.0736,0.0475,0.2205,588.98
2677.7817,80.6299,0.2127,2.2534,85.1675,0.0535,0.223,588.98
2677.8818,82.6114,0.2164,2.2513,85.1029,0.0642,0.2233,588.98
2681.6817,93.5572,0.2264,2.2308,85.1006,0.0632,0.2314,65.9
2681.7818,94.7265,0.2336,2.2348,84.9201,0.0712,0.2277,65.9
2681.8817,97.5744,0.2396,2.2461,84.7087,0.113,0.2163,65.9
2770.9817,91.7396,0.2495,2.3181,85.6891,0.236,0.1589,635
2771.0818,87.6667,0.2383,2.2885,85.9988,0.1473,0.1884,635
2771.1817,84.3018,0.2335,2.2717,85.4482,0.087,0.2056,635
2771.2817,81.9559,0.2312,2.2632,84.6931,0.048,0.2155,1330.12
2771.3816,81.2788,0.2319,2.2664,83.7803,0.0403,0.2153,1330.12
2771.4816,83.2625,0.2331,2.2785,83.5593,0.0688,0.2055,1330.12
2774.9817,81.6492,0.2764,2.3458,80.8512,0.2553,0.1438,109.09
2775.0818,81.789,0.2741,2.3336,80.8394,0.2296,0.156,109.09
2775.1817,82.0548,0.2703,2.3245,80.4424,0.2025,0.167,109.09
2780.7816,88.8082,0.2363,2.3023,79.7668,0.1354,0.1914,410
2780.8816,87.9277,0.2312,2.3108,79.9953,0.1358,0.1839,410
2780.9818,87.1186,0.2432,2.2857,80.4934,0.1127,0.2025,410
2790.6816,84.8,0.2588,2.2766,82.2223,0.1293,0.2043,1927
2790.7816,85.1992,0.2636,2.2786,82.1794,0.1416,0.2025,1927
2790.8818,86.524,0.2655,2.2805,82.0646,0.1527,0.1991,1927
2790.9818,88.0543,0.2625,2.281,81.7991,0.1525,0.1959,1927
2794.4817,80.4535,0.205,2.3792,77.8175,0.1628,0.1503,1009.81
2794.5816,80.2101,0.206,2.3513,78.5663,0.1215,0.1682,1009.81
2794.6816,81.5585,0.2112,2.3369,78.9429,0.1126,0.1746,1009.81
2794.7817,83.6384,0.2178,2.3359,79.1468,0.1316,0.1705,1009.81
2797.6817,83.6534,0.2816,2.2481,82.2029,0.1241,0.2272,228
2797.7817,83.1726,0.2884,2.2564,81.8532,0.1398,0.2229,228
2797.8816,83.3984,0.2963,2.2695,81.6708,0.1652,0.214,228
2800.5816,89.5835,0.234,2.3088,81.6205,0.1649,0.1774,28.8
2800.6816,87.5066,0.2329,2.2882,82.7354,0.129,0.1946,28.8
2800.7818,86.1477,0.2322,2.2757,83.5051,0.1086,0.2049,28.8
2803.2816,83.9455,0.2237,2.3105,79.9408,0.1049,0.1876,92.41
2803.3815,83.6371,0.2355,2.3026,79.9625,0.1078,0.1932,92.41
2803.4816,83.0279,0.2427,2.2958,80.0808,0.1054,0.1985,92.41
2908.0451,107.1327,0.1951,2.341,73.3408,0.2457,0.1419,229
2908.1451,103.9616,0.1887,2.3326,72.6488,0.1816,0.159,229
2908.2453,99.4918,0.1912,2.2983,72.8188,0.1137,0.1904,229
2913.8451,96.5846,0.2274,2.2804,77.864,0.1522,0.2021,55
2913.9451,97.5173,0.234,2.2832,78.7472,0.1825,0.1957,55
2914.0451,99.7312,0.2438,2.29,79.9978,0.2376,0.1835,55
2919.1452,96.2962,0.2858,2.2664,85.7963,0.2998,0.1931,213
2919.2451,94.8015,0.2823,2.2567,85.2733,0.2653,0.204,213
2919.3452,94.7926,0.2793,2.2551,84.8265,0.2541,0.2064,213
2919.9451,97.84,0.2811,2.2743,85.1129,0.3084,0.1863,257
2920.0451,96.7686,0.2722,2.2699,83.9076,0.2684,0.1944,257
2920.1453,96.2778,0.2612,2.2672,82.3669,0.2289,0.2012,257
2926.1453,94.3324,0.279,2.2702,89.1777,0.3505,0.1781,26.4
2926.2452,94.2772,0.279,2.2584,88.8798,0.3314,0.1875,26.4
2926.3452,92.8892,0.2748,2.2414,87.3759,0.2777,0.2057,26.4
3102.7453,84.1815,0.255,2.2671,75.8308,0.1458,0.2133,36.9
3102.8452,85.0516,0.255,2.2822,74.7849,0.1598,0.203,36.9
3102.9452,86.6734,0.2528,2.2994,73.8741,0.1768,0.1906,36.9
3103.0452,89.1098,0.2482,2.3191,73.1096,0.1969,0.176,36.9
3103.1451,93.0686,0.2455,2.3394,72.7398,0.2422,0.1555,36.9
3109.5452,100.5126,0.2101,2.2907,76.608,0.2177,0.167,946
3109.6452,94.885,0.2079,2.2771,76.3329,0.1483,0.1907,946
3109.7451,89.4014,0.2053,2.2725,75.783,0.0965,0.2057,946
3114.5452,89.7874,0.1869,2.3267,73.1685,0.1171,0.172,12.2
3114.6453,88.1636,0.1877,2.3223,73.5814,0.1104,0.1758,12.2
3114.7452,88.7594,0.1858,2.3321,74.2586,0.1394,0.1633,12.2
3117.1452,91.5094,0.163,2.3115,72.2901,0.0638,0.1802,302
3117.2453,91.9025,0.1619,2.3137,72.1434,0.0655,0.1785,302
3117.3452,91.2929,0.1658,2.317,72.1315,0.071,0.1778,302
3123.3452,89.2147,0.1704,2.3292,71.3844,0.077,0.1745,809
3123.4452,85.3649,0.1706,2.3292,71.8746,0.0603,0.1802,809
3123.5452,83.7862,0.1736,2.3301,72.5007,0.0664,0.1798,809
3128.7452,91.0198,0.178,2.3231,71.4722,0.0932,0.1751,106
3128.8452,92.5408,0.1747,2.3286,71.5219,0.0997,0.1699,106
3128.9451,94.1602,0.1714,2.3325,71.8067,0.106,0.1652,106
3129.3452,95.1089,0.1796,2.3209,74.738,0.1519,0.1613,34.1
3129.4452,93.2565,0.181,2.311,75.3162,0.1366,0.17,34.1
3129.5451,91.1921,0.181,2.2979,75.5865,0.1075,0.1831,34.1
2742.4,108.2777,0.3061,2.2209,93.4264,0.315,0.249,8.97
2742.8,117.6269,0.2637,2.2554,88.6173,0.3966,0.222,8.4592
2742.9,120.4684,0.2619,2.2562,88.7432,0.4462,0.2177,7.82
2743.4,109.2901,0.2579,2.2438,90.4131,0.2491,0.2404,154
2743.8,94.1773,0.2947,2.2137,88.1286,0.1533,0.2657,132
2743.9,93.3604,0.2965,2.2215,87.1551,0.1619,0.2604,155.8268
2744,93.5233,0.2944,2.2363,86.455,0.1774,0.2504,183
2744.1,95.1952,0.2906,2.2569,86.1196,0.2073,0.2358,48
2744.2,98.5457,0.2878,2.2805,86.4289,0.2569,0.2179,48
2744.5,109.3174,0.276,2.3491,89.1615,0.4258,0.164,24.3
2744.6,111.3335,0.2656,2.3709,90.0578,0.4559,0.1487,24.3
2745.2,115.894,0.2638,2.3539,88.6359,0.4956,0.1558,107
2745.3,112.9303,0.2576,2.3253,87.7993,0.4007,0.1802,107
2745.5,106.2471,0.2517,2.3209,86.2798,0.3002,0.1905,2.99
2745.6,105.3516,0.2551,2.3423,85.6455,0.326,0.1758,2.99
2746.4,108.8083,0.2476,2.3173,84.5704,0.315,0.1916,30.8
2746.5,107.6341,0.2459,2.2935,85.3907,0.2667,0.2094,18.5594
2746.6,107.2602,0.2428,2.2789,87.2274,0.2368,0.2204,9.98
2746.8,109.2571,0.2558,2.2756,94.3923,0.2848,0.2187,174
2746.9,111.6707,0.2785,2.2799,99.1243,0.3718,0.2094,174
2749.1,112.1781,0.2471,2.3329,84.1341,0.3767,0.1774,0.681
2749.7,108.3692,0.2188,2.3869,83.5857,0.3359,0.1485,73.2
2749.8,105.8134,0.2145,2.3861,83.1334,0.2965,0.152,73.2
2750.2,111.8075,0.2253,2.4326,81.8315,0.4523,0.1122,214
2750.3,115.8263,0.2316,2.4382,82.1537,0.5321,0.1027,214
2750.8,102.4215,0.2423,2.3186,84.6083,0.2378,0.1967,188
2751.1,98.5437,0.223,2.283,83.0593,0.115,0.2274,2.27
2751.2,100.135,0.2253,2.2868,82.6096,0.1383,0.2234,59.6
2751.5,108.0364,0.2418,2.3349,82.9868,0.3157,0.181,36.1
2752.4,98.8221,0.239,2.325,85.025,0.1961,0.1792,238
2752.5,94.4228,0.2309,2.287,85.1109,0.1299,0.2082,238
2752.9,95.5991,0.2565,2.276,86.157,0.147,0.2133,354
2753,100.5703,0.2748,2.3053,86.6647,0.2257,0.1884,354
2753.5,108.8824,0.257,2.355,87.5774,0.3897,0.1434,252
2753.6,109.9295,0.2551,2.3585,87.0951,0.414,0.139,252
2754,107.9138,0.242,2.3315,85.7396,0.3681,0.1596,202
2754.1,103.9691,0.2368,2.3025,85.9457,0.2877,0.1845,202
2754.5,92.9223,0.2359,2.2441,86.9929,0.109,0.2361,128
2754.6,91.9582,0.2391,2.2401,86.9686,0.0963,0.2396,128
2754.9,92.3123,0.2279,2.2458,85.9285,0.1009,0.2358,626
2755.4,104.1598,0.2365,2.2932,82.9169,0.2913,0.1897,1396
2755.5,108.0345,0.2356,2.3095,82.5861,0.3715,0.1726,1396
2755.7,114.4672,0.2372,2.3236,83.0223,0.5306,0.1495,46.1
2755.8,115.2892,0.2397,2.3141,83.9882,0.5538,0.1532,46.1
2756.1,107.4094,0.2484,2.2754,89.3065,0.3578,0.1945,121.9
2756.2,103.7058,0.2534,2.2674,91.0301,0.2822,0.2062,121.9
2756.4,96.965,0.2553,2.252,92.6319,0.1672,0.226,697
2756.5,93.7497,0.2476,2.2453,92.2173,0.1204,0.2343,136.3932
2756.9,88.7971,0.2332,2.2262,86.8137,0.0575,0.2516,82.4
2757.2,91.1101,0.2433,2.2563,85.1743,0.0855,0.2309,477
2757.3,92.5956,0.2418,2.2664,85.3439,0.1048,0.2229,430.8898
2757.4,95.3968,0.2393,2.2757,85.6917,0.1439,0.2138,333
2757.9,108.8916,0.2271,2.3432,86.4452,0.39,0.1504,1103
2758,107.6738,0.2254,2.3506,85.4465,0.3629,0.1484,1103
2758.3,104.2036,0.2341,2.3972,80.8003,0.2916,0.1267,440
2758.4,103.3008,0.2408,2.414,79.6236,0.2744,0.1181,440
2758.9,93.8721,0.2487,2.3449,86.644,0.1219,0.1738,521
2759,94.5009,0.2579,2.3456,89.0435,0.1307,0.1726,521
2759.2,99.0838,0.2617,2.359,91.4884,0.2005,0.1582,229
2759.3,100.9825,0.2568,2.3687,91.3077,0.2324,0.1493,229
2759.8,104.7117,0.2534,2.3039,91.9805,0.3019,0.1824,517
2760.5,121.8104,0.2942,2.3733,90.3694,0.775,0.0972,0.0431
2760.6,118.6472,0.2913,2.3521,89.1886,0.6593,0.1206,0.0431
2761.1,109.0646,0.2649,2.2681,88.6386,0.3186,0.2025,676
2761.4,100.055,0.2614,2.2284,87.5495,0.1705,0.24,2482
2761.5,100.4145,0.2563,2.2367,86.7579,0.1731,0.2347,2482
