TVDSS,GR,NPHI,RHOB,DT,VCL,PHIE,target
1544.3807,80.461,0.388,2.227,103.885,0.1866,0.272,1754
1544.6855,83.602,0.349,2.219,106.378,0.1536,0.2685,1346
1544.8379,84.131,0.347,2.234,107.343,0.1894,0.2534,1386
1545.1427,83.834,0.358,2.213,107.786,0.1786,0.2702,790
1545.7523,76.397,0.349,2.163,107.671,0,0.3168,1067
1546.0571,71.246,0.337,2.17,106.739,0,0.3143,1932
1546.2095,77.142,0.325,2.169,106.608,0,0.3057,2052
1546.5143,82.594,0.355,2.161,106.246,0.0072,0.3172,3066
1546.8191,77.066,0.37,2.163,105.963,0.0648,0.3364,2122
1547.1239,78.168,0.385,2.181,103.62,0.0482,0.326,1880
1547.4287,75.912,0.388,2.199,97.986,0,0.3212,2354
1547.7335,80.029,0.342,2.253,97.316,0.0704,0.278,2119
1548.1907,74.457,0.305,2.278,91.868,0,0.2745,1234
1548.3431,72.36,0.307,2.276,89.339,0,0.2794,788
1548.6479,72.837,0.3,2.285,87.29,0,0.2688,1614
1548.9527,66.355,0.239,2.349,86.978,0.0193,0.2298,1462
1549.2575,71.242,0.262,2.331,87.859,0.0184,0.2374,0.0093
1549.5623,75.046,0.265,2.303,90.094,0.0035,0.2544,532
1549.8671,69.469,0.262,2.249,89.692,0,0.276,833
1550.0195,71.004,0.28,2.24,89.239,0,0.286,2051
1550.3243,75.815,0.278,2.277,89.104,0,0.2564,2149
1550.4767,77.751,0.223,2.304,88.492,0,0.2283,1295
1550.7815,78.857,0.262,2.307,86.268,0,0.2512,390
1551.0863,79.613,0.31,2.296,84.401,0,0.2617,768
1551.2387,78.348,0.32,2.317,84.355,0,0.2521,1879
1551.6958,76.859,0.279,2.353,83.661,0,0.23,698
1551.8482,75.219,0.279,2.349,82.659,0,0.2314,1907
1552.0006,71.452,0.294,2.344,82.95,0,0.2419,418
1552.3054,74.195,0.286,2.352,82.04,0,0.236,778
1552.6102,72.729,0.28,2.37,80.668,0,0.2267,1887
1553.0674,74.926,0.221,2.397,78.501,0,0.1992,875
1553.2198,76.25,0.222,2.405,77.244,0,0.1952,652
1553.3722,75.345,0.232,2.394,75.242,0,0.2051,403
1553.6769,78.212,0.228,2.41,69.963,0,0.1911,299
1553.9817,67.108,0.16,2.505,69.755,0,0.1425,438
1554.2865,66.438,0.106,2.552,69.745,0,0.0944,0.0008
1554.5913,71.34,0.145,2.469,72.2,0,0.1411,0.0003
1554.7437,72.148,0.175,2.407,74.569,0,0.1695,0.0007
1555.0485,74.557,0.225,2.376,76.828,0,0.2092,724
1555.3532,78.497,0.208,2.404,79.424,0,0.1885,247
1555.5056,78.704,0.202,2.415,81.198,0.0414,0.1776,324
1555.8104,80.103,0.224,2.388,85.437,0.0652,0.1906,106
1555.9628,79.839,0.243,2.35,84.513,0,0.2199,0.289
1556.2676,74.318,0.277,2.303,84.932,0,0.2535,687
1556.42,75.582,0.293,2.3,84.771,0,0.2577,670
1556.7248,73.719,0.284,2.333,81.04,0,0.2405,522
1557.0296,72.913,0.219,2.432,76.579,0,0.1851,554
1557.3343,76.029,0.198,2.461,70.948,0,0.1609,87
1557.6391,72.776,0.192,2.485,68.958,0,0.1526,58
1557.9439,71.305,0.184,2.492,66.083,0,0.1552,7.48
1558.0963,71.166,0.178,2.49,65.763,0,0.1544,0.954
1558.4011,73.791,0.162,2.495,63.329,0,0.1442,12
1558.7059,78.191,0.131,2.564,60.806,0,0.0949,20
1558.8583,76.885,0.114,2.604,59.244,0,0.0713,10
1559.3154,63.765,0.084,2.632,57.972,0.009,0.0628,19
1559.7726,70.37,0.081,2.622,57.876,0,0.0588,0.0091
1561.1441,70.262,0.095,2.488,55.294,0,0.1186,0.0052
1561.7537,67.673,0.07,2.657,60.113,0.0733,0.0287,0.0023
